Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 6267	Hex: 187B	Char [᡻]
ID: 6275	Hex: 1883	Char [ᢃ]
ID: 6276	Hex: 1884	Char [ᢄ]
ID: 6277	Hex: 1885	Char [ᢅ]
ID: 6302	Hex: 189E	Char [ᢞ]
ID: 6303	Hex: 189F	Char [ᢟ]
ID: 6304	Hex: 18A0	Char [ᢠ]
ID: 6305	Hex: 18A1	Char [ᢡ]
ID: 6306	Hex: 18A2	Char [ᢢ]
ID: 6333	Hex: 18BD	Char [ᢽ]
ID: 6334	Hex: 18BE	Char [ᢾ]
ID: 6335	Hex: 18BF	Char [ᢿ]
ID: 6353	Hex: 18D1	Char [ᣑ]
ID: 6358	Hex: 18D6	Char [ᣖ]
ID: 6359	Hex: 18D7	Char [ᣗ]
ID: 6360	Hex: 18D8	Char [ᣘ]
ID: 6361	Hex: 18D9	Char [ᣙ]
ID: 6394	Hex: 18FA	Char [᣺]
ID: 6403	Hex: 1903	Char [ᤃ]
ID: 6404	Hex: 1904	Char [ᤄ]
ID: 6405	Hex: 1905	Char [ᤅ]
ID: 6416	Hex: 1910	Char [ᤐ]
ID: 6417	Hex: 1911	Char [ᤑ]
ID: 6418	Hex: 1912	Char [ᤒ]
ID: 6421	Hex: 1915	Char [ᤕ]
ID: 6428	Hex: 191C	Char [ᤜ]
